101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.166000		0.640000		540.058956
0.167000		0.640000		549.272426
0.168000		0.640000		558.580787
0.169000		0.640000		567.983992
0.170000		0.640000		577.481981
0.171000		0.640000		587.074678
0.172000		0.640000		596.761990
0.173000		0.640000		606.543812
0.174000		0.640000		616.420022
0.175000		0.640000		626.390482
0.176000		0.640000		636.455043
0.177000		0.640000		646.613539
0.178000		0.640000		656.865789
0.179000		0.640000		667.211601
0.180000		0.640000		677.650767
0.181000		0.640000		688.183067
0.182000		0.640000		698.808265
0.183000		0.640000		709.526115
0.184000		0.640000		720.336355
0.185000		0.640000		731.238713
0.186000		0.640000		742.232904
0.187000		0.640000		753.318628
0.188000		0.640000		764.495576
0.189000		0.640000		775.763426
0.190000		0.640000		787.121846
0.191000		0.640000		798.570489
0.192000		0.640000		810.109001
0.193000		0.640000		821.737015
0.194000		0.640000		833.454153
0.195000		0.640000		845.260029
0.196000		0.640000		857.154243
0.197000		0.640000		869.136388
0.198000		0.640000		881.206048
0.199000		0.640000		893.362795
0.200000		0.640000		905.606193
0.100000		0.660000		154.251237
0.101000		0.660000		158.368123
0.102000		0.660000		162.554654
0.103000		0.660000		166.811522
0.104000		0.660000		171.139421
0.105000		0.660000		175.539040
0.106000		0.660000		180.011069
0.107000		0.660000		184.556195
0.108000		0.660000		189.175103
0.109000		0.660000		193.868477
0.110000		0.660000		198.636995
0.111000		0.660000		203.481334
0.112000		0.660000		208.402165
0.113000		0.660000		213.400158
0.114000		0.660000		218.475974
0.115000		0.660000		223.630272
0.116000		0.660000		228.863705
0.117000		0.660000		234.176917
0.118000		0.660000		239.570548
0.119000		0.660000		245.045231
0.120000		0.660000		250.601589
0.121000		0.660000		256.240240
0.122000		0.660000		261.961792
0.123000		0.660000		267.766842
0.124000		0.660000		273.655981
0.125000		0.660000		279.629787
0.126000		0.660000		285.688831
0.127000		0.660000		291.833669
0.128000		0.660000		298.064849
0.129000		0.660000		304.382906
0.130000		0.660000		310.788363
0.131000		0.660000		317.281731
0.132000		0.660000		323.863507
0.133000		0.660000		330.534176
0.134000		0.660000		337.294208
0.135000		0.660000		344.144062
0.136000		0.660000		351.084179
0.137000		0.660000		358.114987
0.138000		0.660000		365.236901
0.139000		0.660000		372.450318
0.140000		0.660000		379.755621
0.141000		0.660000		387.153177
0.142000		0.660000		394.643338
0.143000		0.660000		402.226438
0.144000		0.660000		409.902798
0.145000		0.660000		417.672720
0.146000		0.660000		425.536490
0.147000		0.660000		433.494378
0.148000		0.660000		441.546636
0.149000		0.660000		449.693501
0.150000		0.660000		457.935190
0.151000		0.660000		466.271906
0.152000		0.660000		474.703833
0.153000		0.660000		483.231139
0.154000		0.660000		491.853974
0.155000		0.660000		500.572472
0.156000		0.660000		509.386747
0.157000		0.660000		518.296899
0.158000		0.660000		527.303009
0.159000		0.660000		536.405142
0.160000		0.660000		545.603345
0.161000		0.660000		554.897649
0.162000		0.660000		564.288067
0.163000		0.660000		573.774596
0.164000		0.660000		583.357216
0.165000		0.660000		593.035891
0.166000		0.660000		602.810568
0.167000		0.660000		612.681177
0.168000		0.660000		622.647634
0.169000		0.660000		632.709837
0.170000		0.660000		642.867668
0.171000		0.660000		653.120996
0.172000		0.660000		663.469671
0.173000		0.660000		673.913531
0.174000		0.660000		684.452396
0.175000		0.660000		695.086072
0.176000		0.660000		705.814353
0.177000		0.660000		716.637014
0.178000		0.660000		727.553820
0.179000		0.660000		738.564518
0.180000		0.660000		749.668844
0.181000		0.660000		760.866520
0.182000		0.660000		772.157253
0.183000		0.660000		783.540740
0.184000		0.660000		795.016661
0.185000		0.660000		806.584688
0.186000		0.660000		818.244477
0.187000		0.660000		829.995674
0.188000		0.660000		841.837911
0.189000		0.660000		853.770811
0.190000		0.660000		865.793984
0.191000		0.660000		877.907029
0.192000		0.660000		890.109535
0.193000		0.660000		902.401079
0.194000		0.660000		914.781229
0.195000		0.660000		927.249543
0.196000		0.660000		939.805567
0.197000		0.660000		952.448842
0.198000		0.660000		965.178894
0.199000		0.660000		977.995244
0.200000		0.660000		990.897403
0.100000		0.680000		184.011122
0.101000		0.680000		188.693104
0.102000		0.680000		193.447449
0.103000		0.680000		198.274829
0.104000		0.680000		203.175912
0.105000		0.680000		208.151369
0.106000		0.680000		213.201867
0.107000		0.680000		218.328074
0.108000		0.680000		223.530654
0.109000		0.680000		228.810272
0.110000		0.680000		234.167587
0.111000		0.680000		239.603257
0.112000		0.680000		245.117935
0.113000		0.680000		250.712270
0.114000		0.680000		256.386907
0.115000		0.680000		262.142485
0.116000		0.680000		267.979638
0.117000		0.680000		273.898993
0.118000		0.680000		279.901171
0.119000		0.680000		285.986784
0.120000		0.680000		292.156438
0.121000		0.680000		298.410729
0.122000		0.680000		304.750245
0.123000		0.680000		311.175563
0.124000		0.680000		317.687253
0.125000		0.680000		324.285872
0.126000		0.680000		330.971966
0.127000		0.680000		337.746070
0.128000		0.680000		344.608707
0.129000		0.680000		351.560389
0.130000		0.680000		358.601612
0.131000		0.680000		365.732862
0.132000		0.680000		372.954610
0.133000		0.680000		380.267311
0.134000		0.680000		387.671409
0.135000		0.680000		395.167331
0.136000		0.680000		402.755490
0.137000		0.680000		410.436281
0.138000		0.680000		418.210088
0.139000		0.680000		426.077274
0.140000		0.680000		434.038188
0.141000		0.680000		442.093163
0.142000		0.680000		450.242515
0.143000		0.680000		458.486542
0.144000		0.680000		466.825525
0.145000		0.680000		475.259729
0.146000		0.680000		483.789400
0.147000		0.680000		492.414767
0.148000		0.680000		501.136043
0.149000		0.680000		509.953420
0.150000		0.680000		518.867075
0.151000		0.680000		527.877165
0.152000		0.680000		536.983831
0.153000		0.680000		546.187195
0.154000		0.680000		555.487361
0.155000		0.680000		564.884415
0.156000		0.680000		574.378425
0.157000		0.680000		583.969443
0.158000		0.680000		593.657500
0.159000		0.680000		603.442611
0.160000		0.680000		613.324775
0.161000		0.680000		623.303971
0.162000		0.680000		633.380160
0.163000		0.680000		643.553289
0.164000		0.680000		653.823285
0.165000		0.680000		664.190058
0.166000		0.680000		674.653504
0.167000		0.680000		685.213499
0.168000		0.680000		695.869903
0.169000		0.680000		706.622562
0.170000		0.680000		717.471304
0.171000		0.680000		728.415940
0.172000		0.680000		739.456268
0.173000		0.680000		750.592069
0.174000		0.680000		761.823108
0.175000		0.680000		773.149137
0.176000		0.680000		784.569890
0.177000		0.680000		796.085090
0.178000		0.680000		807.694443
0.179000		0.680000		819.397643
0.180000		0.680000		831.194368
0.181000		0.680000		843.084284
0.182000		0.680000		855.067044
0.183000		0.680000		867.142285
0.184000		0.680000		879.309635
0.185000		0.680000		891.568708
0.186000		0.680000		903.919105
0.187000		0.680000		916.360415
0.188000		0.680000		928.892218
0.189000		0.680000		941.514078
0.190000		0.680000		954.225553
0.191000		0.680000		967.026186
0.192000		0.680000		979.915511
0.193000		0.680000		992.893052
0.194000		0.680000		1005.958323
0.195000		0.680000		1019.110828
0.196000		0.680000		1032.350061
0.197000		0.680000		1045.675507
0.198000		0.680000		1059.086643
0.199000		0.680000		1072.582937
0.200000		0.680000		1086.163847
0.100000		0.700000		221.369952
0.101000		0.700000		226.685094
0.102000		0.700000		232.074390
0.103000		0.700000		237.538495
0.104000		0.700000		243.078066
0.105000		0.700000		248.693762
0.106000		0.700000		254.386239
0.107000		0.700000		260.156155
0.108000		0.700000		266.004166
0.109000		0.700000		271.930926
0.110000		0.700000		277.937088
0.111000		0.700000		284.023300
0.112000		0.700000		290.190208
0.113000		0.700000		296.438456
0.114000		0.700000		302.768679
0.115000		0.700000		309.181511
0.116000		0.700000		315.677577
0.117000		0.700000		322.257498
0.118000		0.700000		328.921886
0.119000		0.700000		335.671348
0.120000		0.700000		342.506478
0.121000		0.700000		349.427867
0.122000		0.700000		356.436091
0.123000		0.700000		363.531720
0.124000		0.700000		370.715311
0.125000		0.700000		377.987410
0.126000		0.700000		385.348553
0.127000		0.700000		392.799261
0.128000		0.700000		400.340043
0.129000		0.700000		407.971397
0.130000		0.700000		415.693804
0.131000		0.700000		423.507733
0.132000		0.700000		431.413636
0.133000		0.700000		439.411952
0.134000		0.700000		447.503103
0.135000		0.700000		455.687497
0.136000		0.700000		463.965524
0.137000		0.700000		472.337557
0.138000		0.700000		480.803954
0.139000		0.700000		489.365055
0.140000		0.700000		498.021182
0.141000		0.700000		506.772640
0.142000		0.700000		515.619715
0.143000		0.700000		524.562676
0.144000		0.700000		533.601774
0.145000		0.700000		542.737242
0.146000		0.700000		551.969291
0.147000		0.700000		561.298118
0.148000		0.700000		570.723898
0.149000		0.700000		580.246789
0.150000		0.700000		589.866928
0.151000		0.700000		599.584437
0.152000		0.700000		609.399414
0.153000		0.700000		619.311943
0.154000		0.700000		629.322085
0.155000		0.700000		639.429885
0.156000		0.700000		649.635368
0.157000		0.700000		659.938541
0.158000		0.700000		670.339392
0.159000		0.700000		680.837889
0.160000		0.700000		691.433985
0.161000		0.700000		702.127612
0.162000		0.700000		712.918684
0.163000		0.700000		723.807099
0.164000		0.700000		734.792735
0.165000		0.700000		745.875454
0.166000		0.700000		757.055100
0.167000		0.700000		768.331499
0.168000		0.700000		779.704462
0.169000		0.700000		791.173781
0.170000		0.700000		802.739233
0.171000		0.700000		814.400578
0.172000		0.700000		826.157560
0.173000		0.700000		838.009908
0.174000		0.700000		849.957334
0.175000		0.700000		861.999535
0.176000		0.700000		874.136195
0.177000		0.700000		886.366980
0.178000		0.700000		898.691544
0.179000		0.700000		911.109527
0.180000		0.700000		923.620552
0.181000		0.700000		936.224232
0.182000		0.700000		948.920165
0.183000		0.700000		961.707935
0.184000		0.700000		974.587116
0.185000		0.700000		987.557268
0.186000		0.700000		1000.617937
0.187000		0.700000		1013.768661
0.188000		0.700000		1027.008963
0.189000		0.700000		1040.338358
0.190000		0.700000		1053.756346
0.191000		0.700000		1067.262421
0.192000		0.700000		1080.856063
0.193000		0.700000		1094.536743
0.194000		0.700000		1108.303924
0.195000		0.700000		1122.157056
0.196000		0.700000		1136.095585
0.197000		0.700000		1150.118942
0.198000		0.700000		1164.226555
0.199000		0.700000		1178.417840
0.200000		0.700000		1192.692208
0.100000		0.720000		268.513994
0.101000		0.720000		274.529140
0.102000		0.720000		280.618937
0.103000		0.720000		286.784050
0.104000		0.720000		293.025147
0.105000		0.720000		299.342894
0.106000		0.720000		305.737961
0.107000		0.720000		312.211017
0.108000		0.720000		318.762732
0.109000		0.720000		325.393773
0.110000		0.720000		332.104806
0.111000		0.720000		338.896495
0.112000		0.720000		345.769500
0.113000		0.720000		352.724478
0.114000		0.720000		359.762081
0.115000		0.720000		366.882956
0.116000		0.720000		374.087743
0.117000		0.720000		381.377075
0.118000		0.720000		388.751579
0.119000		0.720000		396.211872
0.120000		0.720000		403.758563
0.121000		0.720000		411.392250
0.122000		0.720000		419.113523
0.123000		0.720000		426.922958
0.124000		0.720000		434.821121
0.125000		0.720000		442.808566
0.126000		0.720000		450.885832
0.127000		0.720000		459.053448
0.128000		0.720000		467.311924
0.129000		0.720000		475.661759
0.130000		0.720000		484.103436
0.131000		0.720000		492.637421
0.132000		0.720000		501.264166
0.133000		0.720000		509.984104
0.134000		0.720000		518.797654
0.135000		0.720000		527.705213
0.136000		0.720000		536.707165
0.137000		0.720000		545.803873
0.138000		0.720000		554.995682
0.139000		0.720000		564.282919
0.140000		0.720000		573.665891
0.141000		0.720000		583.144888
0.142000		0.720000		592.720178
0.143000		0.720000		602.392009
0.144000		0.720000		612.160613
0.145000		0.720000		622.026198
0.146000		0.720000		631.988954
0.147000		0.720000		642.049051
0.148000		0.720000		652.206638
0.149000		0.720000		662.461844
0.150000		0.720000		672.814779
0.151000		0.720000		683.265531
0.152000		0.720000		693.814168
0.153000		0.720000		704.460741
0.154000		0.720000		715.205275
0.155000		0.720000		726.047781
0.156000		0.720000		736.988247
0.157000		0.720000		748.026641
0.158000		0.720000		759.162912
0.159000		0.720000		770.396990
0.160000		0.720000		781.728786
0.161000		0.720000		793.158189
0.162000		0.720000		804.685073
0.163000		0.720000		816.309291
0.164000		0.720000		828.030676
0.165000		0.720000		839.849046
0.166000		0.720000		851.764199
0.167000		0.720000		863.775915
0.168000		0.720000		875.883956
0.169000		0.720000		888.088069
0.170000		0.720000		900.387981
0.171000		0.720000		912.783404
0.172000		0.720000		925.274033
0.173000		0.720000		937.859546
0.174000		0.720000		950.539607
0.175000		0.720000		963.313862
0.176000		0.720000		976.181944
0.177000		0.720000		989.143469
0.178000		0.720000		1002.198040
0.179000		0.720000		1015.345244
0.180000		0.720000		1028.584654
0.181000		0.720000		1041.915832
0.182000		0.720000		1055.338323
0.183000		0.720000		1068.851661
0.184000		0.720000		1082.455367
0.185000		0.720000		1096.148948
0.186000		0.720000		1109.931902
0.187000		0.720000		1123.803713
0.188000		0.720000		1137.763854
0.189000		0.720000		1151.811786
0.190000		0.720000		1165.946962
0.191000		0.720000		1180.168821
0.192000		0.720000		1194.476794
0.193000		0.720000		1208.870303
0.194000		0.720000		1223.348758
0.195000		0.720000		1237.911562
0.196000		0.720000		1252.558109
0.197000		0.720000		1267.287782
0.198000		0.720000		1282.099960
0.199000		0.720000		1296.994010
0.200000		0.720000		1311.969294
0.100000		0.740000		328.369162
0.101000		0.740000		335.142735
0.102000		0.740000		341.989782
0.103000		0.740000		348.911016
0.104000		0.740000		355.907155
0.105000		0.740000		362.978918
0.106000		0.740000		370.127024
0.107000		0.740000		377.352195
0.108000		0.740000		384.655153
0.109000		0.740000		392.036618
0.110000		0.740000		399.497307
0.111000		0.740000		407.037936
0.112000		0.740000		414.659217
0.113000		0.740000		422.361858
0.114000		0.740000		430.146560
0.115000		0.740000		438.014019
0.116000		0.740000		445.964923
0.117000		0.740000		453.999954
0.118000		0.740000		462.119782
0.119000		0.740000		470.325069
0.120000		0.740000		478.616466
0.121000		0.740000		486.994614
0.122000		0.740000		495.460140
0.123000		0.740000		504.013659
0.124000		0.740000		512.655772
0.125000		0.740000		521.387066
0.126000		0.740000		530.208113
0.127000		0.740000		539.119470
0.128000		0.740000		548.121676
0.129000		0.740000		557.215255
0.130000		0.740000		566.400712
0.131000		0.740000		575.678535
0.132000		0.740000		585.049195
0.133000		0.740000		594.513141
0.134000		0.740000		604.070805
0.135000		0.740000		613.722598
0.136000		0.740000		623.468912
0.137000		0.740000		633.310119
0.138000		0.740000		643.246569
0.139000		0.740000		653.278591
0.140000		0.740000		663.406494
0.141000		0.740000		673.630565
0.142000		0.740000		683.951070
0.143000		0.740000		694.368252
0.144000		0.740000		704.882333
0.145000		0.740000		715.493513
0.146000		0.740000		726.201970
0.147000		0.740000		737.007860
0.148000		0.740000		747.911317
0.149000		0.740000		758.912452
0.150000		0.740000		770.011355
0.151000		0.740000		781.208095
0.152000		0.740000		792.502716
0.153000		0.740000		803.895243
0.154000		0.740000		815.385678
0.155000		0.740000		826.974003
0.156000		0.740000		838.660175
0.157000		0.740000		850.444135
0.158000		0.740000		862.325797
0.159000		0.740000		874.305060
0.160000		0.740000		886.381798
0.161000		0.740000		898.555866
0.162000		0.740000		910.827100
0.163000		0.740000		923.195315
0.164000		0.740000		935.660307
0.165000		0.740000		948.221850
0.166000		0.740000		960.879703
0.167000		0.740000		973.633604
0.168000		0.740000		986.483272
0.169000		0.740000		999.428410
0.170000		0.740000		1012.468701
0.171000		0.740000		1025.603812
0.172000		0.740000		1038.833391
0.173000		0.740000		1052.157072
0.174000		0.740000		1065.574470
0.175000		0.740000		1079.085186
0.176000		0.740000		1092.688802
0.177000		0.740000		1106.384888
0.178000		0.740000		1120.172998
0.179000		0.740000		1134.052671
0.180000		0.740000		1148.023431
0.181000		0.740000		1162.084788
0.182000		0.740000		1176.236241
0.183000		0.740000		1190.477272
0.184000		0.740000		1204.807354
